RK,NAME,TEAM,SALARY         ,Team Rank
476,Jarell Eddie,PHO,57672,17
477,Jarrod Uthoff,DAL,47953,19
478,Alex Poythress,PHI,35166,18
479,Gary Payton,MIL,35116,16
480,Pierre Jackson,DAL,31969,20
481,Patricio Garino,ORL,31969,16
482,Marcus Georges-Hunt,ORL,31969,17
483,Elijah Millsap,PHO,23069,18
484,Quinn Cook,NOP,15984,20
485,Axel Toupane,NOP,15435,21
486,Dahntay Jones,CLE,5767,17
